County,U1,U2,U3,U4,U5,U6,U7,U8,U9
gj,0.1520087349724253,-0.013314635969031216,-0.07237431815276764,0.033202688748943346,-0.07487746028816192,-0.003664218530427911,0.09406710971764894,0.16705440566337082,0.05790892616429011
gl,0.03594431030245462,-0.05274889886964159,0.05299300160716334,0.1784001142569012,0.21365627569880893,-0.04791188114414601,-0.027740541275533173,-0.049123648108610904,-0.08407543633948807
gr,0.15465699421197698,0.35051688601491815,-0.25272393698488566,-0.11982697988242176,-0.016509719973199846,0.01773777138643633,-0.1953536379649719,0.12896834296024534,0.11587183912962903
hd,0.09768663987155946,-0.1418957249929534,-0.020723115743505577,-0.12474589867746326,-0.40957003854284657,0.04468318743957045,0.01618463034202831,-0.09801981030015157,0.029046382195203373
hr,-0.5968739601758022,-0.17196081683429154,-0.2092399079123229,0.139981495979519,-0.09688069624094611,0.030254025722813455,-0.06729387857025634,0.01751843669709605,0.07484434326704431
if,0.040489429423094095,0.2705292447259286,0.13782854373958495,0.10754226125939899,0.10204513564385645,-0.1904481977534424,-0.0005876719983311884,0.08404313615206258,0.0207216638152979
il,0.2825707197722421,-0.0809967305494592,-0.038014233640637815,0.024460121837417005,-0.17084365411642488,-0.48383685384143027,-0.04977144219529803,0.3473333889991617,-0.03224408929036895
is,-0.031258132100242975,0.044187501132530935,0.16697325798245277,0.048292144096955016,0.21398157350094005,-0.13739154950780763,0.0874975748098215,-0.14075135936629726,0.03683024848777576
mh,0.062452700271862664,0.1434720476086223,-0.24975989364035397,-0.12486941338824536,0.0811456848428679,0.2335323758704251,0.1633642989954248,0.10602393357055358,-0.0602099494708635
mm,-0.03998924005713416,-0.02193941623427359,0.06373411662347606,-0.16814885191767875,0.15625641107768914,0.16406440140509562,0.24562384764327733,0.19698167451012047,-0.03007939501188154
ms,-0.23395477847803348,-0.045509931293352825,-0.0364159652311559,0.002204362895592421,0.03186649775692255,-0.0667459178844067,0.13641349165162,0.12830856341953614,0.11441303760583661
nt,0.050385505282612014,-0.18186220680705487,0.06723906644188343,-0.16278894285114137,-0.121296430309111,-0.045906246366712526,0.04301787931653484,-0.13942356816980409,0.03785855063027964
ot,0.11193552322669863,0.017491435891547585,-0.24576019556338777,0.1661379379321175,-0.3269311470170264,0.06594946485927469,0.026285368667933417,-0.2180634543388154,-0.20615784629517722
ph,0.09373426243256314,-0.05935938214326357,0.21593466978583825,0.1837305987449763,-0.09910313612723315,0.35324255790573805,-0.3173465396020678,0.3602766242536125,-0.2375263027938918
