Judet,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9
mm,0.005369499103609038,-0.1005023855739802,0.0784271467988665,-0.24886982342546962,0.0709731924816811,-0.09125482888902164,-0.048244781224774776,-0.1109406231345795,-0.0007076359651773637
ms,-0.1617500429770043,-0.03694571611229274,-0.09130558700416609,-0.02493538832218951,-0.043909550617405875,-0.2177056018965793,-0.21421718390922756,-0.06003113173930663,-0.029744294553252813
nt,0.030030258166953743,-0.15748360521570928,-0.03614806047515622,-0.09484013756473153,0.07432897456787277,-0.08844448255105586,0.17377198901502827,-0.19629991820639128,-0.010861271416983332
ot,0.18370824500017802,0.05112971642989607,-0.13409350315131535,0.11808578762084758,-0.10903663089164577,-0.06175233241106613,-0.07532614282394363,-0.028332049313217544,-0.08806171748596904
ph,0.012116912937985681,-0.10089920140066329,0.04306816463748522,0.036830252310906295,-0.027872841488068657,0.13748324465939707,-0.019505210046537765,0.2039496102920869,0.21404262914421393
sb,-0.14673295092906788,0.11292983448489029,0.16224532798349064,0.008031381288107306,-0.03122806647079523,0.08847086390958771,-0.09470731747312015,0.17076199133342235,-0.05556245695194192
sj,-0.13139065852983173,0.09263144799147943,-0.17757905267499274,-0.24401762131773821,-0.14651785654572974,-0.09920542748607034,-0.161945035608699,0.14396478127132573,-0.034185647150587646
sm,-0.22780912074702492,-0.035416637325804474,-0.028025076849155346,-0.04125599957382358,-0.3618412857866131,-0.16314276694344984,-0.09369670274248103,0.29746066440123536,-0.03820747956499806
sv,0.00795815188853363,-0.19001508226694666,0.13295010021954495,-0.24879960797902198,0.16768347406601056,-0.2245056634955601,-0.14241570314474492,0.03319996442298235,-0.09727603033253114
tl,0.2916266387927587,-0.23300843590462683,0.189054421641883,0.0013849360945955033,0.00658569459400902,-0.11751833191255553,0.007225149732332758,-0.2163350291397312,0.3191401922004152
tm,0.08040380832216412,0.2903457137912255,0.27036733445133687,-0.012477541543495986,-0.03901587420769148,0.17130559656910915,-0.055003013149725416,0.05369864209544675,-0.16938756718182485
tr,0.023721789468512746,0.13513946758622628,-0.3269787962156006,0.22264045831689186,0.06401004960586226,0.1402300479062088,-0.19256593629883087,-0.4563947838371181,-0.16180379932602643
vl,0.10281070200144068,-0.1770639179480759,0.04425493999172615,0.04448782258895549,0.020922267877687556,0.23623288428841546,0.09563808390338013,-0.13304238493369436,-0.0553896492977037
vn,-0.07615910315269579,0.0035923718148281377,-0.11624727341427823,0.03435392998090034,-0.08612012531793724,0.13418712676104053,-0.07776455552573795,-0.15906091572356096,0.07146374363646128
vs,0.10560708271216156,-0.17281969184979015,-0.11655332441950915,0.06652315852817914,0.0676615915703826,-0.16536999448536194,-0.018195375316699413,0.004519185264909293,-0.2326233933828106
