Indicativ,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31
cs,-0.3341467079168615,0.7800527537297987,-0.15480474969284225,-0.11112816656358544,0.1723786306567062,-2.176982257050377,-0.7925502911333517,-0.5374231846506086,-1.7446487259749,1.1993975668562193,0.8893418151444543,-0.2509326954806938,1.6286248301214579,0.08658829384277798,0.4470739950264869,0.7521524295900519,-0.10607254776753465,-0.3949394037717185,-1.3824605696560137,-0.3077700928588224,0.11068458483225484,0.5964702549002028,0.6516903725659792,0.38042090211185403,0.14896680370896195,-1.531369947675364,-0.717926533652733,0.19587100355775736,-0.987508002454266,-0.027939151725422412,0.0
cj,1.8576978764862728,-0.058408541819674975,0.47892370722150923,0.3248074985432966,1.1930834772293146,0.9330153757570337,0.35282419890153227,-0.7506325455410918,-0.5597894560887944,1.2020413317971816,-0.6673122422211739,0.2637033859160202,-0.722740625867111,-0.9610285488095093,1.0405817247394693,-1.85673055480342,-1.5505163106688922,1.5004345012657696,-0.16300148369878595,-1.9717135816276072,1.8720697065855563,-0.5083625887684533,-0.4800028697177768,0.4171663039092868,0.29002672849164657,0.29954420324115927,8.794700866849019e-05,0.855451496816826,-0.05742880617589107,-0.5997234441214397,0.0
ct,0.870474298446624,0.546430457360155,-0.7795798322491662,-0.5315637352227782,-1.5854903694414781,-0.11388825852109019,1.1107768791192543,-2.1263308911735446,-1.832460790213107,-0.48314991600102847,0.6492314080581636,3.3603426760248474,-0.06565073208933415,1.6127031495697226,-0.6764697188860479,0.12351902646542949,1.7090069420602412,0.9151964156196326,0.4513003417612144,-0.5181161380267448,1.0297291844705156,0.058827259387431656,-0.5170627721970127,-0.27962530680183084,-0.15720118960031348,0.26374717050630786,1.3690593431598688,0.051767521806327176,0.20652983611897946,0.17313051366597512,0.0
cv,-0.1923909323766044,0.7472101501949768,-0.2331024147052323,-0.2635597685245416,-0.06656648159989842,1.704487631886541,-0.6069292199317349,-0.06388673963916648,-0.5368525956050721,1.1398019782904862,1.2211610493255052,-0.3332236698846928,-0.43640458389965636,1.961077214645942,-0.6251661274216402,-0.6833692361856155,-0.8190856831546803,-0.7657893731505159,1.5307914681306332,-0.38402955457725474,-0.0766098011822658,1.6591188360875662,0.8921633285061428,-0.3841645863109314,-1.5435031885325994,-2.1005921512806194,-0.20168205436258602,0.16241091024465484,-0.03824758053586421,-0.20917321893745341,0.0
db,-0.5448599760997193,-0.8049657815187504,-0.5163563664158077,0.05781298686000311,-0.8619432393532409,0.18072219291792924,0.017600247786208917,-0.8510747068960083,-0.3420182503669798,0.22461479104360024,-0.6253722037563005,-0.9192808535838711,-0.8635115372277654,-0.7720979352564409,0.07375987639137059,-1.477692138619753,0.8753674332909311,-1.0786266896468526,-0.9452123102846363,1.0087048897750446,0.33766656143311397,-1.1330478390906726,2.2873616014705953,-0.9003611386515277,-0.06343736609463589,0.07227215922940561,-0.6786647001873473,-0.1979100516829781,0.13161101230878033,1.027227141009103,0.0
dj,-0.20760578725106468,-0.6155412427484753,0.6111896648831411,0.9126187506051762,-0.8493646022914527,1.9315943411063394,-0.42730102455087415,0.5428752437515479,0.8266898856712463,0.43176447375137583,-1.6247090482816686,1.5505307332686014,0.8580946633531031,1.0257900650624543,0.6152909817176219,1.457180220621351,-0.43587950215789106,0.1830078139056781,0.021169992489060003,-0.01921497252979677,-0.47483337767810113,-0.03845747681650692,-0.10546074199412342,-0.5439279814533087,0.9484989789278242,0.4605163468419062,-0.863148918352959,0.9073336213253163,-1.3402489299162856,-0.16850022596460532,0.0
gl,0.16145980346135086,-0.24956161428355508,1.758402016626909,0.6686721094489999,-1.4559728999476178,-0.7684593584975045,-0.7853502236349679,-0.20452891457295577,0.8235757595093431,-1.5700315182221474,0.3517485542875937,1.128570493053532,-0.5758722976867579,-0.09890080525021047,0.7007587841576827,-2.2185651608587813,0.2957218481369363,-1.283828652355483,0.6825190609520343,-0.0025301924388690116,-0.19132974919068235,0.9641714669102073,-0.49978979207725277,-0.07398996164668492,1.8776999743198592,-0.028893457970129353,-0.09916563845177453,-1.017474052813873,-0.6851912333598862,0.47786474754722086,0.0
gr,-1.2342220428897746,-1.0182791680625287,-0.560775624669391,0.42935593848738857,0.723020163452703,-0.35094678475843977,1.1047090535083908,-0.31489166555849407,-0.6961510737886454,0.8372481154632219,-0.5309923340323265,-1.3274573305939774,-1.2328873750086795,0.38250497240385206,1.1012883559342872,-0.5121274737164029,1.9511659388039062,-0.01348471746676095,-0.5368922556612258,-0.9533843601531189,0.3275096387857639,0.6754828739984339,-1.4740962230967785,-0.3093335719515396,-0.23292305006856243,0.684443952795453,-1.2853145356585707,0.30636163853833615,0.5623369814891045,-0.536733825668167,0.0
gj,-0.2881415272040792,0.49012564752115095,0.023672040447486737,0.16347554085262694,0.29083970521649716,-0.8048843256072115,-0.43716725038317006,-1.467453647574603,0.16336895291787099,1.7900292076833575,-1.7108766430390374,-0.9163367000962913,0.44270360866584857,0.08950868829653105,-0.17323256567924716,-0.5484417808334279,-1.0959389823689507,0.7169291711789683,1.0151024867519272,2.164162927659013,-0.9901218640637145,-0.8594436188040285,-1.6843377780958728,-0.15653430803723892,-0.8746768357236135,0.9726958720447212,2.057215003161794,0.9804241910542919,-0.25340678571706754,0.9526130046633514,0.0
hr,-0.23650359987307873,1.1386601693766032,-0.5433983713194936,-1.15919395245648,0.8507552351372986,1.6887947490597044,-1.3940993034690057,-0.4236007033442606,0.4375123976272089,0.8993817093873991,2.519070488786125,-1.0891228726832969,0.8662636479973966,-0.7278498480276523,0.4332556421113364,-0.2046361610934179,0.8051198708763223,-0.11295806663029924,0.9235352881738638,-0.8627877166773391,-1.0467354985483308,1.1580875697865978,-1.0742856713413615,-0.04316318113361807,0.7311039448171945,0.9340722667369638,0.28870049834533995,0.5325456118953016,0.4032204900195585,0.644071980701043,0.0
