,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31
PopScolara,0.77786933485322,0.10240871607914466,0.38625501250856875,-0.13270090539750307,0.0534382957556306,0.33786879338670184,0.0953391009306499,-0.01752841528141399,-0.07438523415066166,-0.014770317464128045,-0.08891357180902745,0.02659940615557058,0.08878324153794588,0.03393906424127184,-0.0008754049977470036,-0.11967825266464945,-0.02883435698515964,0.020550243721433773,-0.1005817242290267,-0.031097272829958743,0.09178393732887312,-0.05766893826217416,-0.06289480064513886,0.043675178828188596,0.03333383076112686,0.10276703345374856,0.08091179608829976,-0.01561845569193218,-0.008038021885588748,-0.0049630406420253445,0.0
PaturiUS,0.7155726112235954,0.2773952205121396,0.30070844486953885,0.21104788377464817,0.05255363863674886,0.2626082125556885,-0.19955916752708386,-0.17017226654306136,-0.12906240958121853,0.10668473075298775,-0.07895865648964143,-0.057600324893385166,0.026776237466505298,0.13057119128503247,0.00031796057885946074,0.10245269835815467,-0.1829199824520247,0.006357481111474167,0.054890910650149144,0.004753187666236635,-0.016536359263653388,0.04261245554471861,0.08903035825972978,0.061464710660882924,-0.11300018643492885,-0.0332131681214358,4.0210587442703784e-05,0.0065033487997183705,-0.020777797156284424,-0.0030020082533881074,0.0
Medici,0.8099058608004481,-0.07588193959615697,0.19223080945500234,0.16057535746084806,0.09286656347640627,0.27906324030871,0.017912917080500194,-0.011785532343387096,-0.18160338496465306,0.0015202652491039018,-0.1648390612327379,0.06605973206385041,0.08091554525916402,0.07740324050125069,0.14463987349269192,0.17978215523033433,-0.07422425114621531,0.08126777800561721,-0.09010149861715225,0.036529105013864034,-0.14025826850276582,0.051762391124530495,-0.030387674316997022,-0.015846668817268886,0.07415576549208647,0.03894318549265669,-0.03399724312948872,0.002282598193539722,0.003264279905452252,0.005267366839676666,0.0
VolumeB,0.7071863844904656,0.20962124724479195,0.4308670818521495,0.11498236006046843,0.30872881602550495,0.19996846111144437,0.055170087862272246,0.0011390282904480047,0.09953692494632627,0.19369341735107873,-0.050963928457982755,0.007648209541057103,0.07390378461110682,-0.08157224383307456,-0.03548738957918897,-0.025517880199757488,0.005239796466755559,-0.07626013766183701,0.07864006009949029,-0.07107894783405928,0.12549922346912976,-0.08874981446477923,0.05615289448866206,-0.019783999386274852,0.03455403368479079,-0.0455253684726977,-0.04204238130910716,-0.0017063108087113318,0.0103482183575928,-0.015596934464034316,0.0
SpectatoriS,0.5403895471143532,0.3502764067384896,0.11059004550321637,-0.13529147750291898,-0.38800632128609003,0.048233720181855455,0.2879747409788042,0.35380075572623826,0.09279450658434944,0.19175268719056102,0.026157602104580575,-0.2660608773624287,-0.1630693617607598,-0.014718019692004241,-0.02069659044862551,0.04444076447966809,-0.08580941838316473,-0.10131150755535034,0.05826058302828478,0.02447741678408445,-0.020525431913468062,0.08406377199787607,-0.09588728415755325,-0.024492477733520868,-0.033729570522315316,-0.01358907373368348,0.047270279669782096,-0.003134563300676987,0.013144015948287057,-0.008224217425823806,0.0
VizitatoriM,0.4754215868368666,0.4674149091898861,-0.08146955210489432,-0.3049891622339261,-0.4913738024079799,-0.188651232743285,0.18604333689863936,0.15579091646258342,0.01663482374647307,0.032294271394457987,-0.16417263566779894,-0.1690518674553721,-0.10083283300655,-0.03476028811891345,0.019272613367262534,0.11137180792811732,0.04267585016767957,-0.016061949785861274,-0.0776507955997741,0.028080625663742923,0.020651323680786624,-0.09168964493921984,0.08272386998104442,0.02257073987762416,0.039144375752958795,0.04159854317339782,-0.06892944494055894,0.01995901178869737,-0.02002525582709839,0.005067938915216842,0.0
SportiviL,0.6152138515694336,0.10553108343043392,-0.26852505449604164,0.12933563984485127,0.21091643481685135,0.22235382505672713,-0.10728178393304813,0.2284006721015192,-0.2671528118296801,-0.12183389534093599,0.2847467484932809,0.11787069703600815,-0.24192123704235707,-0.15652724073100477,0.20700296452924713,0.12414960381422198,0.14952737453633067,0.005105611918494692,0.09870075067595453,0.0006706225732712293,-0.0011524683094734872,-0.028167178632418532,0.022078226075667402,-0.034063106320045874,-0.006725910127473798,0.023759578554995765,0.02816172049579751,0.013059524353255343,-0.012152638869720964,-0.013067137786271756,0.0
PIB,0.8978723106635478,-0.06128707728283502,-0.055406855883918006,0.22926564969073351,0.16293035930230393,-0.024765904974879578,0.04673899404901509,-0.0017302161554163095,0.02504087824390678,0.1749095672193805,0.03378243643643693,0.04506825770042807,0.04090918527436209,-0.053734980075615064,-0.13758114909270241,0.03749980960691904,0.077363231949705,-0.014092297837955016,0.05439337755199293,0.13792200504773813,0.014409045562955448,-0.07190371299924916,-0.03605804806400442,0.01395320947200512,-0.012421276647046895,-0.02120200535827865,0.04305153335594841,0.04383491878019584,-0.008771751808971287,0.03616980407579084,0.0
SalariatiC,0.7830565479089908,-0.3506421635167524,-0.07150707133136235,-0.03929152360252072,0.0585502469948192,-0.2566814028629542,-0.015372580522334957,0.24833817953777174,0.15545404032216686,0.13872979544881645,0.020095570996598287,-0.0729235705746216,0.035510723180636854,0.08385440472081372,-0.03859651581373889,0.04423634219457996,0.015951071564162433,0.09300150038885796,-0.005350308256253171,-0.13585806686056043,-0.014774405763689706,0.04479019139681121,0.14187109282833374,-0.05764825521305001,0.03454487041124746,0.003349050127780439,0.06689398236468726,-0.03469520812749855,-0.006898044056906679,0.011200015808806286,0.0
PAgrVeg,-0.6907030559574434,-0.050582371832902595,-0.025204532870877712,0.3598117639967407,0.12096469880096387,0.2854584447984101,0.13313094346778384,0.25081710603016966,-0.19112949942535762,0.05112954776884548,-0.11091896811747219,0.03431843873134879,-0.10706799698111082,0.24310433442623278,0.03029635070119972,-0.0861431085020002,-0.035585864743033414,-0.25278594133211124,-0.007582905540264885,0.04929229030823203,-0.010727776687075344,-0.012197646369071877,0.05889687255452566,-0.0311109159532941,0.06031155395785006,-0.019946810034701654,0.003592106044039299,-0.0003614641344039516,0.022767104054409803,0.008622344742765181,0.0
PAgrAnim,-0.5636837568800471,0.36417394414369725,-0.03843193458332444,-0.09049236064771003,0.26359761741157534,0.16549374246342846,0.09361055231470936,0.25917624524520827,-0.18293859230969786,-0.22309949725737066,0.05779836417905572,-0.11609587590989481,0.09393225329429539,-0.08406853208899744,-0.16021857429180547,0.11889983983416015,-0.11278201694244933,0.20319510754780967,0.01070861218849619,0.11491494068307578,0.07934347026038038,0.009901959117502765,0.0043338531406003,-0.0060245528422800685,0.05076269955443316,-0.05723323475226266,0.000986075160477594,-0.03460657598108889,0.00662357035277857,0.0022975290621140313,0.0
