Judet,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
 Dolj,0.003541199463257549,0.02178998391466831,0.03589527344003086,0.0029193059032279756,0.00196018434545497,0.020820935781339565,0.05673468698632531,0.011580072332732,0.008313917064193852,0.026589452902120562,0.010441736720766417,0.019739086554231528,0.04159024404812363,0.005794897137879818,0.011794947279203145,0.05773366218345154,0.006584056838266043
 Galati,0.020596636601012408,0.02124933191487964,0.017967470875025607,0.009515540716887828,0.012418398867195105,0.0014820379239573506,0.001372903766601678,0.00014390144936781476,0.14277804907035946,0.006120257739144239,0.04347567818811535,0.04574878872160008,0.014994939928906366,0.06083612819693657,0.0011578391724388524,0.0017742231978220642,0.012261704566347897
 Giurgiu,0.007063444562628904,0.0015246338803734166,0.030621053018598885,2.030959240362928e-05,0.008415268927665486,0.008831430293708293,0.002031757498548162,0.049773737815466686,0.0037851707488005632,5.102440021452196e-05,0.003956828890248592,0.1261996026278346,0.015890566383874177,0.006518912515099254,0.0021495108623641895,0.08713395511047384,0.011867838648239506
 Gorj,0.0012256720683331852,0.00836781869075649,0.07150535151476098,0.036416062068772403,0.005452691760795472,0.0008161517016317798,0.00815518469257497,6.503947085611396e-05,0.002422283284012233,0.00819559550477122,0.020313556635705228,0.012251410318597836,0.018759481647115155,0.05112715605109527,0.011537349908372333,0.062333497831024445,8.67465413910295e-05
 Harghita,0.0015031318275340252,0.019478219098645305,0.013038598107402313,0.037692681988394386,0.0042898201657900785,0.001417227869981519,0.003296054983040705,0.016799278873220722,0.000733369524993768,0.0016313130455025495,0.05262196868740952,0.05089899960389926,0.043379299072362806,0.06595267317525909,0.09685631682220049,0.0022842026326667653,0.01042927139122804
 Hunedoara,0.02438495192965624,0.00109840802838924,0.04545777159940432,0.008485148219246832,0.011361621037133491,0.05310791865370042,0.031980790089924126,0.003529243261317583,0.1555565897744389,0.08113956073138646,0.0014941370272216585,0.012901215609996913,0.034673003769062495,0.006826741332514269,0.01012814209041755,0.1091529703207123,0.0447983784650989
 Ialomita,0.001466856892090752,0.0016686909305183555,0.040416409321329366,0.0010711016377549965,0.001480720267218415,0.0010701051719193408,0.015368514451715507,0.010704276485157038,0.0014231879721525239,0.028390457017375192,0.023478215804626744,0.05366460995961392,0.03731728310496279,0.017140394489345404,0.07266862471834756,0.06815056480339814,0.025335140257768726
 Iasi,0.029036934455047632,0.009765373154191905,0.005992224138748469,0.1641425010868558,0.021701632499055035,0.00129147819810313,5.649975274263159e-05,0.001749737487331696,0.010089667447233318,0.0114892289922096,0.07877423133584521,0.007864464209993656,0.03735065246520753,0.012379946356133882,0.005889077895797143,0.009153827601910355,0.0013244605090479886
 Ilfov,0.17282047669978784,0.015705862737094515,0.011850445643214209,0.0008814377840488749,0.008948167253113953,0.00029418672370821954,4.175827766989081e-06,0.0077662208931412935,0.027454754864475864,0.0049573061131141785,4.704415222984583e-07,0.002317242681491281,0.01461933693970838,0.002404692776627709,0.04190695151637632,4.012091587116737e-06,0.00033037969637601783
 Maramures,0.0061002671197741935,0.0012868441172414022,0.022234602329813648,0.00130271256547471,0.009345948283560909,0.008333556163994268,0.007076580434100644,0.005356592719586504,0.006138337709272543,0.019253187783444415,0.012126081779953798,0.010925199286658157,0.10765593078218656,0.0352102229870265,0.001943938269171902,0.003266474782177056,0.057012946080653604
 Mehedinti,0.0001636678589997247,0.02768454101512835,0.03752322010336144,0.0028617682229185467,0.006589312521998644,0.01901258350521073,0.002350841475846615,0.021076523351093373,3.34876319633225e-05,0.007933558662205324,0.020131045336770022,1.382743028289592e-05,0.010695515177900874,0.01502861793810671,0.024743561289421435,0.03455096120282489,0.016506821901316526
 Municipiul Bucuresti,0.05405442020829692,0.00020748242871815797,0.006815002989467104,0.06444476612481534,0.0005648848012581534,0.025464338467797283,0.01533765131786954,0.03163386584630543,0.028558851244400246,0.03463864440432273,0.06835952767189131,0.01106776320485442,0.017965779798739406,0.004560204101412551,0.03969771751266679,0.01847022777125898,0.016348174720238372
 Mures,0.005432274521761921,0.0020814163106460267,0.09047697707805273,0.0032011925875962493,7.2215875795966e-05,0.07224615038377469,0.013784849833489413,0.027843428014406285,0.0002528752244889843,0.0031140577117036764,0.06695738769263924,0.024803317450143282,0.004739682592711155,0.08543272193572761,0.005546575243968868,0.06106285597351086,0.008046282284557327
 Neamt,0.05063660333869781,7.006091771690483e-06,0.007372450310000065,0.010067546740106332,0.00059309477724153,1.678891401926535e-06,0.022129123446174105,0.11110932615363653,0.005637750185241994,0.040870294179361555,0.02658764162555256,0.01860561016706729,0.0004248012299232936,0.020053781745984076,0.0031952315035088724,0.007565522765137928,8.959695295796483e-05
 Olt,0.010462277662972445,0.016904633380700477,0.08508344107119836,0.008149146377007728,0.003349495822956604,0.019706269201295767,0.008781914060458598,0.0015091261786594062,0.0015333596146679008,0.09257438443211986,0.004437605644125109,0.001565132889319413,0.06681723384343013,0.006498364653989372,6.3565527486144635e-06,0.0011441883732665435,0.005529678744687434
 Prahova,0.0047966411060176364,0.020656009279742742,0.001897903975289231,0.0061777961853373645,0.03874042636269179,0.004481009529779737,0.0017643269771665155,0.015756374922434764,0.007291679037015054,0.003398451674791262,0.009875236197161085,0.0015896887985219412,5.6369179261981305e-05,0.11720062818395945,0.056863721711708434,0.046367930972289556,0.0022740962162440706
 Salaj,0.0016379462660311666,0.028950517103148155,0.004424686625866235,0.01541606056436696,0.0075593220668167815,0.007220670188842476,0.027844301862348108,0.004368825317703359,0.03352625904982404,0.029403032994289226,0.02990401282354055,5.485416374468873e-05,0.0038639072964031557,0.008945155362460664,0.03783827908514572,0.006191197685763537,0.011131526954729352
 Satu Mare,5.86547805579652e-06,0.049698090193714316,0.023394916117890404,0.0035541420316313973,0.0034904645386210735,0.009494151411057916,0.006059478883662285,0.0055109969358554806,0.03128682990936807,0.011522536127424186,0.08184121805711102,0.029064007107067448,0.017488464661152586,0.00279967057648282,0.007161193182124276,0.04151668706810459,0.057333056260194366
 Sibiu,0.02066491428838167,2.7773691058671794e-05,0.02359064256892005,0.011172297099697848,0.007204228629218816,0.0008203019595523874,0.0023008595514671416,0.10068934770474698,6.69758194573291e-05,0.03420150481934068,0.006838538615322085,0.001078040077638706,0.02181606164776786,0.0007773056493618609,0.002015251904196435,0.0003554429550705902,0.00010213077094632819
