Judet,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
 Calarasi,-2.2005931929745715,3.9821354064263765,-0.5560688407280349,0.27886389792701316,0.009602204031641358,0.12992704240371017,1.333958472349001,0.11478717044109325,-1.2717471300965428,0.6278293555397191,-0.4195373872466822,-0.9666968357214907,-0.4555435308681328,-0.07425833748527204,0.8301946462163897,0.33002849279791063,-0.08405325724136034
 Caras-Severin,0.8784854203095769,-2.184585799460884,-0.2585214729062355,-1.344260125645944,-0.03322466229255169,0.1112767641219342,3.025957587669243,1.9034332658668436,-1.5784664826151158,-0.43411771533163346,-0.5124963768933964,1.4697644962290803,0.103953662260772,0.13297927081128966,0.21868994917700468,0.06372340055261366,-0.019690112485708157
 Cluj,2.6116135142625447,0.20647462830370697,0.3244505111481577,0.6416958193671005,-0.25760804503800894,-0.44209529384850965,-0.8691263296447316,-0.563204155991729,0.02901133858934534,-0.6710518694730153,-0.5139159611434992,0.16169071548793212,1.2245568023382785,-0.742930128952323,-0.6907675916739636,0.25279602378993377,-0.047737527862633175
 Constanta,0.9872322771261021,0.66805032452186,-0.15461477184175065,-1.1531174128193147,0.19141606220197205,0.24395000790875418,-0.004644426865387438,0.14516566975798675,0.7278777251124741,0.7474715169026327,0.5286726022948396,0.9153489809931286,0.3058010322955757,-0.7845939898566923,-0.5174851333344715,-0.30254060678344924,-0.01697091453563024
 Covasna,0.6787011723996079,-0.052661456753676374,-0.16324636183497176,1.0952764114328912,-0.3055134232679307,0.4693184306780418,-0.5445890475319205,0.4386844532867616,0.6081253666057255,-1.279655666262865,0.3360762886595087,-0.01512866981075494,-0.8971882823446153,0.6323285812752475,0.7556917780109017,0.05221240135900607,-0.017684455761646747
 Dambovita,-0.4425743348306056,3.7009396116610733,0.8050266159384428,0.3928672144466827,0.1509223587091416,-1.5864160113836852,0.360277269244235,1.8074971938423199,0.7653511013977603,-0.45435819132125227,-0.11017277536881333,-0.3103502624158177,0.7197321473438265,0.12561542631486186,0.1452798716366277,0.15541181110090763,-0.017807620380517433
 Dolj,-0.7291672905742027,-1.4716331222851573,1.801315677257984,0.44317303737835056,0.32830380300042267,1.0273378331465564,1.551215177627958,-0.6146989213138854,0.49808493233579576,0.79155458719248,-0.47720557123466156,-0.5595627447430606,0.7471409657904539,-0.2440144731745994,0.2995820333567871,0.4544533927789552,-0.027795995157085297
 Galati,-1.758531438808675,-1.4532614029323725,-1.2744261393587692,-0.800111040774021,-0.8263428196410022,0.274089764719211,0.24130580076845062,0.06852347815356052,2.0641026042333293,-0.3797615796307099,0.9737384485002981,-0.851873416752152,-0.44862056729289496,0.7906303903389098,-0.09386244902372728,-0.07966708438221022,-0.0379324475223861
 Giurgiu,-1.029817468088726,-0.389272641754051,1.6637239040596883,0.036964439996918064,0.6802388861765508,-0.6690809768299666,0.29355105763988765,-1.2744034627722385,-0.3360804868897988,0.034674892511092036,0.29376007536762777,-1.4148625773924488,0.4618240053423856,-0.2588095496081143,-0.12789029354297074,-0.5583011346805579,0.03731824900843352
 Gorj,0.42898205790975136,0.9119630239367298,2.542380031188552,1.5652366834754536,-0.5475615311029688,0.2033989023015851,-0.5881181932116906,-0.046067571077951015,-0.2688518480770965,0.4394570409393839,0.6655981721064239,0.4408372745667571,0.5017844885977902,0.7248005904685465,0.29629259268447555,0.47221039768817774,0.0031905204001622936
 Harghita,0.4750622475298588,-1.3913798913186037,-1.0856420223211536,1.5924362216840744,0.48567639750994895,-0.26802975024854875,-0.3738909366293112,-0.7403756632999959,0.1479319525615051,0.19606262996166884,1.0712792225946512,0.8985451189674637,-0.763041361925992,-0.8232067485502647,0.8584830743454318,0.09039452158101094,0.034983433047682325
 Hunedoara,-1.9134315719305497,-0.3304098215919254,2.0271004352717754,-0.7555500590211615,-0.7904012256231688,-1.640751463344336,1.1646416256342234,-0.3393498112897576,2.1544914100543995,-1.3827462693413335,0.18051543829502237,0.4523770693854261,-0.6821856010406149,-0.26484967502992723,-0.27760843313900385,0.6248741743320205,0.07250477161358283
 Ialomita,-0.46929492375713777,0.40724808606530655,1.9113933003356607,-0.26844101299809764,-0.2853408598951772,-0.23290370168563798,-0.8073533631456978,-0.5909972690046291,-0.20607802922262178,-0.81792288777744,-0.7155692691240719,0.9226335749792254,0.7077205783076072,0.4196653638197169,0.7436031702668185,-0.49375274878867353,0.05452517876548678
 Iasi,2.0879849589045314,0.9851798504396078,-0.7359786577828338,-3.3231048986849894,1.092379792416456,-0.25586253541973764,0.048952061683003,-0.2389424229091967,-0.548705086578801,-0.5203213088553776,1.3107239135726205,0.3531993017006655,-0.7080369318023982,0.3566581085040007,0.21168564659065953,-0.18095732228274664,-0.012466798741454047
 Ilfov,5.093890243114263,1.249401427945578,1.0349956799761462,-0.24351704154396803,0.7014464180175054,0.12211659728452635,0.013308190308656709,-0.5033982302587012,0.9051266355564538,0.34178188288676586,-0.0032031107816344845,0.19172159160669067,-0.4429662649871129,0.15718913352979588,-0.56469091014852,0.0037884382770244393,0.00622647310497398
