Judet,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
 Calarasi,0.1791114805757861,0.5865107010277774,0.01143670749152498,0.0028762622450280747,3.410246351877457e-06,0.000624371395497886,0.06581554968326815,0.0004873383564471036,0.059819864629700174,0.01457897965387674,0.006510063606330339,0.034564039076206525,0.007675446708618759,0.00020395499089214796,0.02549199062711854,0.004028531515107251,0.00026130817046799744
 Caras-Severin,0.03038976574323624,0.18793014488104837,0.0026317914959887935,0.07115818611601002,4.346897370148987e-05,0.0004876039467291177,0.36056528367836055,0.14267029073384105,0.09811354436536814,0.007421184921989166,0.01034284068214904,0.08506555515781201,0.00042553748654636833,0.0006963476758078191,0.0018832842888134203,0.00015990282008795118,1.5267032510394457e-05
 Cluj,0.565980023659644,0.0035376647512368256,0.008735348053773679,0.034169742672111515,0.005506835862799149,0.01621866382807794,0.06268290307653487,0.026321763955806134,6.984234679996331e-05,0.03736762273259435,0.021916313329588894,0.002169469026334021,0.12443460074827957,0.04580145036989526,0.03959562441702884,0.00530302611451403,0.0001891050549809486
 Constanta,0.15805607426302584,0.07237538009249876,0.003876809551021211,0.2156351521359117,0.005941953575491474,0.009651041252398277,3.498136532408257e-06,0.0034174356315774946,0.08591902836786938,0.09060700918157545,0.045325865686037116,0.13587698564225725,0.015165278602574635,0.09983031764362946,0.04342784250178032,0.014843620626300642,4.670710951853076e-05
 Covasna,0.07206756493830523,0.00043387875632908916,0.004169362651548218,0.18768523927442685,0.0146030389062395,0.03446020596858966,0.04640026436179151,0.03010836251118282,0.05785872886921814,0.2561939663505496,0.017670888821101568,3.580833583461528e-05,0.12593598260587152,0.06255589961833873,0.08934536831062437,0.0004265107530141044,4.892896703441663e-05
 Dambovita,0.00885833610106964,0.619446353995232,0.029308944749551966,0.006980254844560336,0.0010301177523516314,0.1138187659284745,0.00587020716504418,0.14775254390035347,0.026491169205223757,0.009336335028196073,0.0005489443043693478,0.0043559605454191125,0.023427260457533745,0.00071361777124958,0.0009545322331447169,0.0010923146204609132,1.4341397764966447e-05
 Dolj,0.042822029194983034,0.17442631029299782,0.2613319708184066,0.015818290471188916,0.008680899195809406,0.08500401708205187,0.1938014298164615,0.030432511030661604,0.019981113836930492,0.050463181339587417,0.018341037408393542,0.02521799008629028,0.04495913893873583,0.0047956122257824755,0.007228437234928592,0.01663380424503013,6.222678176045322e-05
 Galati,0.20330001120108776,0.13884319765328415,0.10677423529009614,0.04208600042168496,0.0448908309054299,0.004938815070862158,0.003828006378333476,0.00030868528459875873,0.28009134700477206,0.009481109861364334,0.06233353629536441,0.047707566093952776,0.013231085899959284,0.041094541203754276,0.0005791897820759917,0.0004172486837248805,9.459296965465527e-05
 Giurgiu,0.1126531128796025,0.01609646291085927,0.2940256383172228,0.0001451412806300134,0.04915249847174196,0.04755323347970985,0.00915355904582594,0.1725188578026941,0.011998011776083551,0.00012771824300449313,0.009166598939312326,0.2126430574463296,0.0226556066366927,0.0071151372570445815,0.0017373921576475588,0.03311004030780218,0.00014793304779659128
 Gorj,0.014594513240494343,0.06595774787336747,0.5126161633428186,0.19429937051334129,0.023778103698592398,0.0032810176595831327,0.027430933481087726,0.00016830692580397202,0.005732412186616042,0.01531595961348567,0.03513464740557713,0.015412318519315092,0.019968517463725053,0.041662798212448934,0.006962303431651102,0.017684079133100623,8.072989915849696e-07
